Type                                  Module                      Label             Process   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2Merged"            ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2PFlowCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2PFlowTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3FromL1MuonCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3FromL1MuonMerged"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3FromL1MuonTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3MuonCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3MuonMerged"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter3IterL3MuonTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3FromL1MuonPixelTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3GlbMuon"          ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3MuonAndMuonFromL1Merged"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3MuonMerged"       ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3MuonPixelTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3MuonTracks"       ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3OIMuCtfWithMaterialTracks"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3OIMuonTrackSelectionHighPurity"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL2Muons"                ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIterL3IO"        ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIterL3OI"        ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltMergedTracks"           ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPFMuonMerging"          ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPixelTracks"            ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPixelTracksFromQuadrupletsRegForTau"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPixelTracksFromTripletsRegForTau"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPixelTracksMergedRegForTau"   ""                "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3GlbMuon"          "L2Seeded"        "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIterL3IO"        "L2Seeded"        "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIterL3OI"        "L2Seeded"        "MYHLT"   
edm::RangeMap<CSCDetId,edm::OwnVector<CSCRecHit2D,edm::ClonePolicy<CSCRecHit2D> >,edm::ClonePolicy<CSCRecHit2D> >    "hltCsc2DRecHits"           ""                "MYHLT"   
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "hltCscSegments"            ""                "MYHLT"   
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "hltDt4DSegments"           ""                "MYHLT"   
edm::RangeMap<DTLayerId,edm::OwnVector<DTRecHit1DPair,edm::ClonePolicy<DTRecHit1DPair> >,edm::ClonePolicy<DTRecHit1DPair> >    "hltDt1DRecHits"            ""                "MYHLT"   
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "hltRpcRecHits"             ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau10Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau11Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau12Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau1Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau2Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau3Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau4Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau5Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau6Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau7Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau8Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltCaloTowersIsoTau9Regional"   ""                "MYHLT"   
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltTowerMakerForAll"       ""                "MYHLT"   
edm::SortedCollection<EBSrFlag,edm::StrictWeakOrdering<EBSrFlag> >    "hltEcalDigis"              ""                "MYHLT"   
edm::SortedCollection<EESrFlag,edm::StrictWeakOrdering<EESrFlag> >    "hltEcalDigis"              ""                "MYHLT"   
edm::SortedCollection<ESDCCHeaderBlock,edm::StrictWeakOrdering<ESDCCHeaderBlock> >    "hltEcalPreshowerDigis"     ""                "MYHLT"   
edm::SortedCollection<ESKCHIPBlock,edm::StrictWeakOrdering<ESKCHIPBlock> >    "hltEcalPreshowerDigis"     ""                "MYHLT"   
edm::SortedCollection<EcalDCCHeaderBlock,edm::StrictWeakOrdering<EcalDCCHeaderBlock> >    "hltEcalDigis"              ""                "MYHLT"   
edm::SortedCollection<EcalPnDiodeDigi,edm::StrictWeakOrdering<EcalPnDiodeDigi> >    "hltEcalDigis"              ""                "MYHLT"   
edm::SortedCollection<EcalPseudoStripInputDigi,edm::StrictWeakOrdering<EcalPseudoStripInputDigi> >    "hltEcalDigis"              "EcalPseudoStripInputs"   "MYHLT"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalRecHit"             "EcalRecHitsEB"   "MYHLT"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalRecHit"             "EcalRecHitsEE"   "MYHLT"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalPreshowerRecHit"    "EcalRecHitsES"   "MYHLT"   
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "hltEcalDigis"              "EcalTriggerPrimitives"   "MYHLT"   
edm::SortedCollection<EcalUncalibratedRecHit,edm::StrictWeakOrdering<EcalUncalibratedRecHit> >    "hltEcalUncalibRecHit"      "EcalUncalibRecHitsEB"   "MYHLT"   
edm::SortedCollection<EcalUncalibratedRecHit,edm::StrictWeakOrdering<EcalUncalibratedRecHit> >    "hltEcalUncalibRecHit"      "EcalUncalibRecHitsEE"   "MYHLT"   
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "hltHcalDigis"              ""                "MYHLT"   
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hltHbhePhase1Reco"         ""                "MYHLT"   
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hltHbhereco"               ""                "MYHLT"   
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "hltHcalDigis"              ""                "MYHLT"   
edm::SortedCollection<HFPreRecHit,edm::StrictWeakOrdering<HFPreRecHit> >    "hltHfprereco"              ""                "MYHLT"   
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "hltHfreco"                 ""                "MYHLT"   
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "hltHcalDigis"              ""                "MYHLT"   
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "hltHoreco"                 ""                "MYHLT"   
edm::SortedCollection<HOTriggerPrimitiveDigi,edm::StrictWeakOrdering<HOTriggerPrimitiveDigi> >    "hltHcalDigis"              ""                "MYHLT"   
edm::SortedCollection<HcalCalibDataFrame,edm::StrictWeakOrdering<HcalCalibDataFrame> >    "hltHcalDigis"              ""                "MYHLT"   
edm::SortedCollection<HcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<HcalTriggerPrimitiveDigi> >    "hltHcalDigis"              ""                "MYHLT"   
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "hltHcalDigis"              ""                "MYHLT"   
edm::TriggerResults                   "TriggerResults"            ""                "MYHLT"   
edm::ValueMap<float>                  "hltIter1Merged"            "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltIter2IterL3FromL1MuonMerged"   "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltIter2IterL3MuonMerged"   "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltIter2Merged"            "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltIter3IterL3FromL1MuonMerged"   "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltIter3IterL3MuonMerged"   "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltIterL3MuonAndMuonFromL1Merged"   "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltIterL3MuonMerged"       "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltMergedTracks"           "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltPFMuonMerging"          "MVAVals"         "MYHLT"   
edm::ValueMap<float>                  "hltPixelTracksMergedRegForTau"   "MVAVals"         "MYHLT"   
edm::ValueMap<reco::MuonTimeExtra>    "hltIterL3MuonsNoID"        "combined"        "MYHLT"   
edm::ValueMap<reco::MuonTimeExtra>    "hltMuons"                  "combined"        "MYHLT"   
edm::ValueMap<reco::MuonTimeExtra>    "hltIterL3MuonsNoID"        "csc"             "MYHLT"   
edm::ValueMap<reco::MuonTimeExtra>    "hltMuons"                  "csc"             "MYHLT"   
edm::ValueMap<reco::MuonTimeExtra>    "hltIterL3MuonsNoID"        "dt"              "MYHLT"   
edm::ValueMap<reco::MuonTimeExtra>    "hltMuons"                  "dt"              "MYHLT"   
edmNew::DetSetVector<PixelFEDChannel>    "hltSiPixelDigis"           ""                "MYHLT"   
edmNew::DetSetVector<SiPixelCluster>    "hltSiPixelClusters"        ""                "MYHLT"   
edmNew::DetSetVector<SiPixelCluster>    "hltSiPixelClustersRegForTau"   ""                "MYHLT"   
edmNew::DetSetVector<SiPixelRecHit>    "hltSiPixelRecHits"         ""                "MYHLT"   
edmNew::DetSetVector<SiPixelRecHit>    "hltSiPixelRecHitsRegForTau"   ""                "MYHLT"   
edmNew::DetSetVector<SiStripCluster>    "hltSiStripRawToClustersFacility"   ""                "MYHLT"   
reco::BeamSpot                        "hltOnlineBeamSpot"         ""                "MYHLT"   
reco::JetPiZeroAssociation            "hltPFTauPiZeros"           ""                "MYHLT"   
reco::PFJetChargedHadronAssociation   "hltHpsTauPFJetsRecoTauChargedHadronsWithNeutrals"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauAgainstMuonDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauDiscriminationByDecayModeFindingNewDMs"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauLooseAbsOrRelChargedIsolationDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauLooseAbsoluteChargedIsolationDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauLooseRelativeChargedIsolationDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauMediumAbsOrRelChargedIsolationDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauMediumAbsoluteChargedIsolationDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauMediumRelativeChargedIsolationDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauTightAbsOrRelChargedIsolationDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauTightAbsoluteChargedIsolationDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauTightRelativeChargedIsolationDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsPFTauTrackFindingDiscriminator"   ""                "MYHLT"   
reco::PFTauDiscriminator              "hltHpsSelectionDiscriminator"   ""                "MYHLT"   
set<EBDetId>                          "hltEcalDetIdToBeRecovered"   "ebDetId"         "MYHLT"   
set<EEDetId>                          "hltEcalDetIdToBeRecovered"   "eeDetId"         "MYHLT"   
set<EcalScDetId>                      "hltEcalDetIdToBeRecovered"   "eeFE"            "MYHLT"   
set<EcalTrigTowerDetId>               "hltEcalDetIdToBeRecovered"   "ebFE"            "MYHLT"   
vector<BeamSpotOnline>                "hltScalersRawToDigi"       ""                "MYHLT"   
vector<DTuROSFEDData>                 "hltMuonDTDigis"            ""                "MYHLT"   
vector<DcsStatus>                     "hltScalersRawToDigi"       ""                "MYHLT"   
vector<L1AcceptBunchCrossing>         "hltScalersRawToDigi"       ""                "MYHLT"   
vector<L1TriggerScalers>              "hltScalersRawToDigi"       ""                "MYHLT"   
vector<L2MuonTrajectorySeed>          "hltL2MuonSeeds"            ""                "MYHLT"   
vector<Level1TriggerScalers>          "hltScalersRawToDigi"       ""                "MYHLT"   
vector<LumiScalers>                   "hltScalersRawToDigi"       ""                "MYHLT"   
vector<TrackCandidate>                "hltDoubletRecoveryPFlowCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIter0IterL3FromL1MuonCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIter0IterL3MuonCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIter0PFlowCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIter1PFlowCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIter2IterL3FromL1MuonCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIter2IterL3MuonCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIter2PFlowCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIter3IterL3FromL1MuonCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIter3IterL3MuonCkfTrackCandidates"   ""                "MYHLT"   
vector<TrackCandidate>                "hltIterL3OITrackCandidates"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltDoubletRecoveryPFlowPixelSeeds"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIter0IterL3FromL1MuonPixelSeedsFromPixelTracks"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIter0IterL3MuonPixelSeedsFromPixelTracks"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIter0PFLowPixelSeedsFromPixelTracks"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIter1PFLowPixelSeedsFromPixelTracks"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIter2IterL3FromL1MuonPixelSeeds"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIter2IterL3MuonPixelSeeds"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIter2PFlowPixelSeeds"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIter3IterL3FromL1MuonPixelSeeds"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIter3IterL3MuonPixelSeeds"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltIterL3OISeedsFromL2Muons"   ""                "MYHLT"   
vector<TrajectorySeed>                "hltL2OfflineMuonSeeds"     ""                "MYHLT"   
vector<double>                        "hltAK4CaloJetsPF"          "rhos"            "MYHLT"   
vector<double>                        "hltAK4Iter1TrackJets4Iter2"   "rhos"            "MYHLT"   
vector<double>                        "hltAK4PFJets"              "rhos"            "MYHLT"   
vector<double>                        "hltAK4PFJetsForTaus"       "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau10Regional"     "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau11Regional"     "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau12Regional"     "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau1Regional"      "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau2Regional"      "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau3Regional"      "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau4Regional"      "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau5Regional"      "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau6Regional"      "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau7Regional"      "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau8Regional"      "rhos"            "MYHLT"   
vector<double>                        "hltAkIsoTau9Regional"      "rhos"            "MYHLT"   
vector<double>                        "hltAK4CaloJetsPF"          "sigmas"          "MYHLT"   
vector<double>                        "hltAK4Iter1TrackJets4Iter2"   "sigmas"          "MYHLT"   
vector<double>                        "hltAK4PFJets"              "sigmas"          "MYHLT"   
vector<double>                        "hltAK4PFJetsForTaus"       "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau10Regional"     "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau11Regional"     "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau12Regional"     "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau1Regional"      "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau2Regional"      "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau3Regional"      "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau4Regional"      "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau5Regional"      "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau6Regional"      "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau7Regional"      "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau8Regional"      "sigmas"          "MYHLT"   
vector<double>                        "hltAkIsoTau9Regional"      "sigmas"          "MYHLT"   
vector<float>                         "hltDoubletRecoveryPFlowTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltDoubletRecoveryPFlowTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter0IterL3FromL1MuonTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter0IterL3FromL1MuonTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter0IterL3MuonTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter0IterL3MuonTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter0PFlowTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter0PFlowTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter1Merged"            "MVAValues"       "MYHLT"   
vector<float>                         "hltIter1PFlowTrackCutClassifierDetached"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter1PFlowTrackCutClassifierMerged"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter1PFlowTrackCutClassifierPrompt"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter1PFlowTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter2IterL3FromL1MuonMerged"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter2IterL3FromL1MuonTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter2IterL3FromL1MuonTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter2IterL3MuonMerged"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter2IterL3MuonTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter2IterL3MuonTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter2Merged"            "MVAValues"       "MYHLT"   
vector<float>                         "hltIter2PFlowTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter2PFlowTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter3IterL3FromL1MuonMerged"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter3IterL3FromL1MuonTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter3IterL3FromL1MuonTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter3IterL3MuonMerged"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter3IterL3MuonTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIter3IterL3MuonTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIterL3MuonAndMuonFromL1Merged"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIterL3MuonMerged"       "MVAValues"       "MYHLT"   
vector<float>                         "hltIterL3MuonTracks"       "MVAValues"       "MYHLT"   
vector<float>                         "hltIterL3OIMuonTrackCutClassifier"   "MVAValues"       "MYHLT"   
vector<float>                         "hltIterL3OIMuonTrackSelectionHighPurity"   "MVAValues"       "MYHLT"   
vector<float>                         "hltMergedTracks"           "MVAValues"       "MYHLT"   
vector<float>                         "hltPFMuonMerging"          "MVAValues"       "MYHLT"   
vector<float>                         "hltPixelTracksMergedRegForTau"   "MVAValues"       "MYHLT"   
vector<int>                           "hltDoubletRecoveryPFlowCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIter0IterL3FromL1MuonCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIter0IterL3MuonCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIter0PFlowCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIter1PFlowCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIter2IterL3FromL1MuonCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIter2IterL3MuonCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIter2PFlowCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIter3IterL3FromL1MuonCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIter3IterL3MuonCtfWithMaterialTracks"   ""                "MYHLT"   
vector<int>                           "hltIterL3OIMuCtfWithMaterialTracks"   ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAK4CaloJetsPF"          ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAK4CaloJetsPFEt5"       ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau10Regional"     ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau11Regional"     ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau12Regional"     ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau1Regional"      ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau2Regional"      ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau3Regional"      ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau4Regional"      ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau5Regional"      ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau6Regional"      ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau7Regional"      ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau8Regional"      ""                "MYHLT"   
vector<reco::CaloJet>                 "hltAkIsoTau9Regional"      ""                "MYHLT"   
vector<reco::CaloJet>                 "hltL2TauJets"              ""                "MYHLT"   
vector<reco::CaloJet>                 "hltL2TauJetsIso"           ""                "MYHLT"   
vector<reco::CaloJet>                 "hltL2TausForPixelIsolation"   ""                "MYHLT"   
vector<reco::CaloMuon>                "hltIterL3MuonsNoID"        ""                "MYHLT"   
vector<reco::CaloMuon>                "hltMuons"                  ""                "MYHLT"   
vector<reco::Muon>                    "hltIterL3Muons"            ""                "MYHLT"   
vector<reco::Muon>                    "hltIterL3MuonsNoID"        ""                "MYHLT"   
vector<reco::Muon>                    "hltMuons"                  ""                "MYHLT"   
vector<reco::MuonTrackLinks>          "hltIterL3GlbMuon"          ""                "MYHLT"   
vector<reco::MuonTrackLinks>          "hltIterL3MuonsFromL2LinksCombination"   ""                "MYHLT"   
vector<reco::MuonTrackLinks>          "hltIterL3OIL3MuonsLinksCombination"   ""                "MYHLT"   
vector<reco::MuonTrackLinks>          "hltL3MuonsIterL3IO"        ""                "MYHLT"   
vector<reco::MuonTrackLinks>          "hltL3MuonsIterL3Links"     ""                "MYHLT"   
vector<reco::MuonTrackLinks>          "hltL3MuonsIterL3OI"        ""                "MYHLT"   
vector<reco::MuonTrackLinks>          "hltMuonLinks"              ""                "MYHLT"   
vector<reco::PFBlock>                 "hltParticleFlowBlock"      ""                "MYHLT"   
vector<reco::PFBlock>                 "hltParticleFlowBlockForTaus"   ""                "MYHLT"   
vector<reco::PFCandidate>             "hltParticleFlow"           ""                "MYHLT"   
vector<reco::PFCandidate>             "hltParticleFlowForTaus"    ""                "MYHLT"   
vector<reco::PFCandidate>             "hltParticleFlow"           "AddedMuonsAndHadrons"   "MYHLT"   
vector<reco::PFCandidate>             "hltParticleFlowForTaus"    "AddedMuonsAndHadrons"   "MYHLT"   
